School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,50075,Monitor,HP,Compaq LE1911,CNC230QP59,211939,Insight Systems Exchange,58,General Purpose,9/11/2014,0000-00-00
District Office,Technology,48438,Printer,Brother,HL-L5100DN,U64219C6N195168,215279,CDW,176,General Purpose,7/28/2016,0000-00-00
District Office,Technology,48506,Monitor,HP,27wm,6CM6241V72,,Walmart,179,General Purpose,9/21/2016,0000-00-00
District Office,Technology,45607,Computer,HP,8000 Elite SFF,MXL1181BRR,205181,Pomeroy,656.19,General Funds,5/11/2011,0000-00-00
District Office,Technology,48543,Projector,Epson,PowerLite 97h,VTFK6202769,215280,CDW-G,450,General Purpose,7/29/2016,0000-00-00
District Office,Technology,50547,Projector,Epson,PowerLite 97H,VTFK6202813,215280,CDW-G,450,General Purpose,7/29/2016,0000-00-00
District Office,Technology,50551,Projector,Epson,PowerLite 97H,VTFK6202704,215280,CDW-G,450,General Purpose,7/29/2016,0000-00-00
District Office,Technology,50569,Projector,Epson,PowerLite 97H,VTFK6601534,215280,CDW-G,450,General Purpose,7/29/2016,0000-00-00
District Office,Technology,50572,Projector,Epson,PowerLite 97H,VTFK6202765,215280,CDW-G,450,General Purpose,7/29/2016,0000-00-00
District Office,Technology,50526,Printer,Brother,HL-5100DN,U64219B6N184457,215279,CDW-G,176,General Purpose,7/28/2016,0000-00-00
District Office,Technology,50580,Printer,Brother,HL-L5100DN,U64219B6N184467,215279,CDW-G,176,General Purpose,7/28/2016,0000-00-00
District Office,Technology,50588,Printer,Brother,HL-L5100DN,U64219C6N195152,215279,CDW-G,176,General Purpose,7/28/2016,0000-00-00
District Office,Technology,50596,Printer,Brother,HL-L5100DN,U64219E6N261433,215279,CDW-G,176,General Purpose,7/28/2016,0000-00-00
District Office,Technology,50618,Printer,Brother,HL-L5100dn,U64219B6N184443,215279,CDWG,176,Genernal Purpose,7/28/2016,0000-00-00
District Office,Technology,50623,Projector,Epson,PowerLite 97H,VTFF660169L,215950,CDW-G,450,General Purpose,11/2/2016,0000-00-00
