Schools,Rooms
Obion County Central High School,156
Obion County Central High School,159
Obion County Central High School,160
Obion County Central High School,162
Obion County Central High School,161
Obion County Central High School,226
Obion County Central High School,224
Obion County Central High School,222
Obion County Central High School,220
Obion County Central High School,218
Obion County Central High School,216
Obion County Central High School,214
Obion County Central High School,212
Obion County Central High School,210
Obion County Central High School,208
Obion County Central High School,206
Obion County Central High School,204a
Obion County Central High School,204
Obion County Central High School,202
Obion County Central High School,201
Obion County Central High School,203
Obion County Central High School,205
Obion County Central High School,207
Obion County Central High School,209
Obion County Central High School,215
Obion County Central High School,217
Obion County Central High School,219
Obion County Central High School,207A
Obion County Central High School,161C
Obion County Central High School,209A
Obion County Central High School,162A
Obion County Central High School,
Obion County Central High School,Green House
Hillcrest Elementary,Networking
Hillcrest Elementary,E18
Obion County Central High School,AG Building
Obion County Central High School,Commons Area
Lake Road Elementary,B51
Lake Road Elementary,B52
District Office,Data Base
Hillcrest Elementary,
Lake Road Elementary,
Ridgemont Elementary,
South Fulton Elementary,
South Fulton Middle/High School,
Lake Road Elementary,Nurse
Ridgemont Elementary,Asst Principal Office
South Fulton Middle/High School,Alternative School
District Office,
Ridgemont Elementary,Speech
Obion County Central High School,109
Lake Road Elementary,Workroom East
Lake Road Elementary,Workroom West
Obion County Central High School,161A
South Fulton Elementary,Music
South Fulton Elementary,Preschool - Spec Ed
Lake Road Elementary,B11
Obion County Central High School,108
South Fulton Middle/High School,Football Office
South Fulton Middle/High School,Basketball Office
Obion County Central High School,A5
Obion County Central High School,A7
Obion County Central High School,125
Hillcrest Elementary,E16
Maintenance Department,Shop
Obion County Central High School,AG Dept
Ridgemont Elementary,Concessions
Tansportation Department,Director of Transportation
Tansportation Department,Secretary
Tansportation Department,Shop Foreman Office
Lake Road Elementary,GYM
Obion County Central High School,107
South Fulton Middle/High School,S1
Obion County Central High School,Nurse
Ridgemont Elementary,After School
South Fulton Middle/High School,North Conference Room
Tansportation Department,Shop
South Fulton Elementary,Mobile
South Fulton Middle/High School,N13
District Office,Special Education Student
South Fulton Middle/High School,South Teacher Work Area
Obion County Central High School,A6
Lake Road Elementary,B10
South Fulton Elementary,Networking
Hillcrest Elementary,E15
Lake Road Elementary,D1
Lake Road Elementary,D2
Lake Road Elementary,D3
Lake Road Elementary,D4
South Fulton Middle/High School,Accounting Office
Obion County Central High School,166
Obion County Central High School,164
Obion County Central High School,165
Obion County Central High School,CTE Office
Obion County Central High School,CTE Administrator
Obion County Central High School,163
Obion County Central High School,167
Obion County Central High School,168
Obion County Central High School,228
Obion County Central High School,230
Obion County Central High School,232
Obion County Central High School,169
Obion County Central High School,A1
South Fulton Middle/High School,W2
South Fulton Middle/High School,W1
Obion County Central High School,227
South Fulton Middle/High School,North Teacher Work Area
South Fulton Middle/High School,Nurse
Obion County Central High School,231
Obion County Central High School,Auto Shop
Obion County Central High School,Building Trades
Obion County Central High School,Metal Fabrication
Hillcrest Elementary,Reading Recovery
Obion County Central High School,Security
Obion County Central High School,Wiring Closet - Commons
Obion County Central High School,Wiring Closet - Gym
Obion County Central High School,Wiring Closet - CTE
South Fulton Middle/High School,PE Office
Maintenance Department,Frank Truck
District Office,Computer Storage
District Office,CTE Director
Hillcrest Elementary,After School
Hillcrest Elementary,Yellow Computer Lab
South Fulton Middle/High School,Practice Gym
South Fulton Middle/High School,Shop
South Fulton Middle/High School,Gym Stage
Lake Road Elementary,B Hall Maintenance Closet
Lake Road Elementary,D Hall Maintenance Closet
Hillcrest Elementary,Red Lab Closet
Hillcrest Elementary,Green Maintenance Closet
District Office,Networking Closet
District Office,Data Coach
District Office,School Phychologist
District Office,CTE
Hillcrest Elementary,Green -Workroom
South Fulton Middle/High School,SRO Office
Obion County Central High School,Conference Room A4
District Office,Food Service Secretary
South Fulton Middle/High School,Girls Varsity
South Fulton Middle/High School,Boys Varsity
South Fulton Middle/High School,Weight Room
Hillcrest Elementary,SRO Office
Lake Road Elementary,SRO Office
Ridgemont Elementary,SRO Office
Ridgemont Elementary,Bookkeeper
District Office,Social Worker
District Office,Maintenance
District Office,Grants Finance Manager
Hillcrest Elementary,Red Conference Room
South Fulton Elementary,K-2 Instructional Coach (Gym)
Hillcrest Elementary,1to1
Hillcrest Elementary,Blue Workroom
Hillcrest Elementary,Boys Locker Room
Hillcrest Elementary,Girls Locker Room
Hillcrest Elementary,Green Chapter
Hillcrest Elementary,Gym Office
Hillcrest Elementary,Music
Lake Road Elementary,1 to 1
Lake Road Elementary,KItchen
Maintenance Department,Maintenance Shop Warehouse
Maintenance Department,Truck 23
Obion County Central High School,1 to 1
Obion County Central High School,155C
Obion County Central High School,Alternative School
Obion County Central High School,Gym Audio Room
Obion County Central High School,Press Box
District Office,Accounts Payable/Purchasing
District Office,Assistant Director of Schools
District Office,Coach Office
District Office,Federal Grant Administrator
District Office,Finance Director
District Office,Human Resources
District Office,Janitorial
District Office,Lost Laptops
District Office,Out for repair
District Office,Public Relations
District Office,SOR Office
Ridgemont Elementary,1 to 1
Ridgemont Elementary,Boys Locker Room
Ridgemont Elementary,Girls Locker Room
Ridgemont Elementary,Gym Office
Ridgemont Elementary,Kitchen
South Fulton Elementary,1 to 1
